"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"Ontario’s Libraries Working Together'","RFP: Request for Proposal'","-24.42","0","15.96","32.04","16.08","1","0","0","1","0","0","0","0","0","1",""
"To Present a Proposal for Developing the Business Plan for the Ontario Digital Library'","March 21, 2003'","-19.43","0","11.04","7.56","-3.48","0","0","0","1","0","0","0","0","0","1",""
"March 21, 2003'","Ontario’s Digital Library'","-24.72","0","7.56","20.04","12.48","0","0","0","1","0","0","0","0","0","1",""
"Ontario’s Digital Library'","A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy'","-2.6","0","20.04","15.96","-4.08","0","0","0","1","0","0","0","0","0","1",""
"A Critical Component for Implementing Ontario’s Road Map to Prosperity Strategy'","Summary'","1.43","6","15.96","12.0","-3.96","0","0","0","0","0","0","0","0","0","1",""
"Summary'","The purpose of this Request for Proposal  RFP  is to invite firms and/or consultants to'","0.57","-6","12.0","11.04","-0.96","0","0","0","0","0","0","0","0","0","1",""
"The purpose of this Request for Proposal  RFP  is to invite firms and/or consultants to'","The ODL will deliver high-quality library electronic content to all Ontario residents in order to'","-19.43","0","11.04","11.04","0.0","1","0","0","1","0","0","0","0","0","1",""
"The ODL will deliver high-quality library electronic content to all Ontario residents in order to'","assist people as they learn, work, and enhance their quality of life. The business plan to be'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"assist people as they learn, work, and enhance their quality of life. The business plan to be'","developed is to document and clearly communicate:'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"developed is to document and clearly communicate:'","how the ODL will be implemented, including the timeline'","-19.43","0","11.04","11.04","0.0","1","1","1","1","0","0","0","0","0","1",""
"how the ODL will be implemented, including the timeline'","the financial plan for the implementation'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"the financial plan for the implementation'","the financial plan for the first 2 operating years, including capital and operating costs,'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"the financial plan for the first 2 operating years, including capital and operating costs,'","revenues, etc.'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
"revenues, etc.'","a financial forecast for the succeeding 2 operating years'","-19.43","0","11.04","11.04","0.0","1","1","1","1","0","0","0","0","0","1",""
"a financial forecast for the succeeding 2 operating years'","the services and products to be delivered by the ODL'","-19.43","0","11.04","11.04","0.0","1","0","1","1","0","0","0","0","0","1",""
