text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
A CareerZone Occupational Brief for:,A CareerZone Occupational Brief for:,Broadcast Technicians,"Broadcast Technicians, page 1 of 3",-4.72,312.47,0,0,0,12.0,9.0,-3.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0
Broadcast Technicians,"Broadcast Technicians, page 1 of 3",An occupation in Engineering and Technologies,An occupation in Engineering and Technologies,5.44,-312.47,0,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1
An occupation in Engineering and Technologies,An occupation in Engineering and Technologies,New York State Department of Labor,New York State Department of Labor,0.05,297.02,0,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
New York State Department of Labor,New York State Department of Labor,"David A. Paterson, Governor","David A. Paterson, Governor",0.05,33.99,0,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"David A. Paterson, Governor","David A. Paterson, Governor",Job Description,Job Description,0.7,-145.58,0,0,1,9.0,12.0,3.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Job Description,Job Description,"Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Control","Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Control",1.3,-185.43,0,1,1,12.0,9.0,-3.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Control","Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Control",audio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operate,audio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operate,-0.03,0.0,1,1,1,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
audio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operate,audio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operate,radio transmitter to broadcast radio and television programs.,radio transmitter to broadcast radio and television programs.,-0.03,0.0,1,1,0,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
radio transmitter to broadcast radio and television programs.,radio transmitter to broadcast radio and television programs.,Interests,Interests,1.12,203.76,0,0,1,9.0,12.0,3.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Interests,Interests,"Realistic - Realistic occupations frequently involve work activities that include practical, hands-on problems and","Realistic - Realistic occupations frequently involve work activities that include practical, hands-on problems and",1.31,-203.76,0,1,0,12.0,9.0,-3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"Realistic - Realistic occupations frequently involve work activities that include practical, hands-on problems and","Realistic - Realistic occupations frequently involve work activities that include practical, hands-on problems and","solutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many of","solutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many of",-0.04,0.0,1,0,1,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"solutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many of","solutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many of","the occupations require working outside, and do not involve a lot of paperwork or working closely with others.","the occupations require working outside, and do not involve a lot of paperwork or working closely with others.",-0.03,0.0,1,1,1,9.0,9.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"the occupations require working outside, and do not involve a lot of paperwork or working closely with others.","the occupations require working outside, and do not involve a lot of paperwork or working closely with others.",Tasks,Tasks,1.12,210.77,0,1,1,9.0,12.0,3.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Tasks,Tasks,"1 . Maintain programming logs, as required by station management and the Federal Communications","1. Maintain programming logs, as required by station management and the Federal Communications",1.31,-210.77,0,1,0,12.0,9.0,-3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"1 . Maintain programming logs, as required by station management and the Federal Communications","1. Maintain programming logs, as required by station management and the Federal Communications",Commission.,Commission.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Commission.,Commission.,2 . Control audio equipment to regulate the volume and sound quality during radio and television broadcasts.,2. Control audio equipment to regulate the volume and sound quality during radio and television broadcasts.,1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
2 . Control audio equipment to regulate the volume and sound quality during radio and television broadcasts.,2. Control audio equipment to regulate the volume and sound quality during radio and television broadcasts.,"3 . Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to","3. Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to",0.99,0.0,1,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"3 . Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to","3. Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to",maintain quality broadcasts.,maintain quality broadcasts.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
maintain quality broadcasts.,maintain quality broadcasts.,"4 . Regulate the fidelity, brightness, and contrast of video transmissions, using video console control panels.","4. Regulate the fidelity, brightness, and contrast of video transmissions, using video console control panels.",1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"4 . Regulate the fidelity, brightness, and contrast of video transmissions, using video console control panels.","4. Regulate the fidelity, brightness, and contrast of video transmissions, using video console control panels.",5 . Observe monitors and converse with station personnel to determine audio and video levels and to ascertain,5. Observe monitors and converse with station personnel to determine audio and video levels and to ascertain,0.99,0.0,1,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
5 . Observe monitors and converse with station personnel to determine audio and video levels and to ascertain,5. Observe monitors and converse with station personnel to determine audio and video levels and to ascertain,that programs are airing.,that programs are airing.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
that programs are airing.,that programs are airing.,6 . Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,6. Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
6 . Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,6. Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,"7 . Select sources from which programming will be received, or through which programming will be transmitted.","7. Select sources from which programming will be received, or through which programming will be transmitted.",0.99,0.0,1,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"7 . Select sources from which programming will be received, or through which programming will be transmitted.","7. Select sources from which programming will be received, or through which programming will be transmitted.","8 . Report equipment problems, ensure that repairs are made, and make emergency repairs to equipment when","8. Report equipment problems, ensure that repairs are made, and make emergency repairs to equipment when",0.99,0.0,1,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"8 . Report equipment problems, ensure that repairs are made, and make emergency repairs to equipment when","8. Report equipment problems, ensure that repairs are made, and make emergency repairs to equipment when",necessary and possible.,necessary and possible.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
necessary and possible.,necessary and possible.,"9 . Record sound onto tape or film for radio or television, checking its quality and making adjustments where","9. Record sound onto tape or film for radio or television, checking its quality and making adjustments where",1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"9 . Record sound onto tape or film for radio or television, checking its quality and making adjustments where","9. Record sound onto tape or film for radio or television, checking its quality and making adjustments where",necessary.,necessary.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
necessary.,necessary.,10 . Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field,10. Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field,1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
10 . Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field,10. Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field,locations.,locations.,-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
locations.,locations.,11 . Substitute programs in cases where signals fail.,11. Substitute programs in cases where signals fail.,1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
11 . Substitute programs in cases where signals fail.,11. Substitute programs in cases where signals fail.,Skills,Skills,1.12,212.77,0,0,1,9.0,12.0,3.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Skills,Skills,"Operation Monitoring - Watching gauges, dials, or other indicators to make sure a machine is working properly.","Operation Monitoring - Watching gauges, dials, or other indicators to make sure a machine is working properly.",1.31,-212.77,0,1,0,12.0,9.0,-3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"Operation Monitoring - Watching gauges, dials, or other indicators to make sure a machine is working properly.","Operation Monitoring - Watching gauges, dials, or other indicators to make sure a machine is working properly.",Reading Comprehension - Understanding written sentences and paragraphs in work related documents.,Reading Comprehension - Understanding written sentences and paragraphs in work related documents.,0.99,0.0,1,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Reading Comprehension - Understanding written sentences and paragraphs in work related documents.,Reading Comprehension - Understanding written sentences and paragraphs in work related documents.,Operation and Control - Controlling operations of equipment or systems.,Operation and Control - Controlling operations of equipment or systems.,0.99,0.0,1,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Troubleshooting - Determining causes of operating errors and deciding what to do about it.,Troubleshooting - Determining causes of operating errors and deciding what to do about it.,"Active Listening - Giving full attention to what other people are saying, taking time to understand the points","Active Listening - Giving full attention to what other people are saying, taking time to understand the points",0.99,0.0,1,0,0,9.0,9.0,0.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Active Listening - Giving full attention to what other people are saying, taking time to understand the points","Active Listening - Giving full attention to what other people are saying, taking time to understand the points","being made, asking questions as appropriate, and not interrupting at inappropriate times.","being made, asking questions as appropriate, and not interrupting at inappropriate times.",-0.04,0.0,1,0,0,9.0,9.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"being made, asking questions as appropriate, and not interrupting at inappropriate times.","being made, asking questions as appropriate, and not interrupting at inappropriate times.",Active Learning - Understanding the implications of new information for both current and future problem-solving,Active Learning - Understanding the implications of new information for both current and future problem-solving,1.0,0.0,1,0,0,9.0,9.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
